07-04-18,3CF,ROBBERY - COMMERCIAL,O,FIREARM,511.0,NORTHERN,Remington,-76.61976,39.317809999999994,GAS STATIO,1.0
07-04-18,4A,AGG. ASSAULT,I,FIREARM,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.60104,39.33465,ROW/TOWNHO,1.0
07-04-18,3AF,ROBBERY - STREET,O,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.67042,39.34574,STREET,1.0
07-04-18,8H,ARSON,O,FIRE,343.0,EASTERN,Oliver,-76.59626,39.31095,STREET,1.0
07-04-18,3AF,ROBBERY - STREET,O,FIREARM,542.0,NORTHERN,Guilford,-76.61176,39.33995,STREET,1.0
07-04-18,4C,AGG. ASSAULT,O,OTHER,923.0,SOUTHERN,Lakeland,-76.6427,39.25045,STREET,1.0
07-04-18,4C,AGG. ASSAULT,O,OTHER,923.0,SOUTHERN,Lakeland,-76.6427,39.25045,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4A,AGG. ASSAULT,O,FIREARM,812.0,SOUTHWESTERN,Fairmont,-76.68275,39.31113,STREET,1.0
07-04-18,4D,AGG. ASSAULT,I,HANDS,934.0,SOUTHERN,Carrollton Ridge,-76.64780999999999,39.28172,ROW/TOWNHO,1.0
